iter	Passed	Remaining
0	0	72
1	1	71
2	2	73
3	2	67
4	3	68
5	4	67
6	5	66
7	5	65
8	6	63
9	6	61
10	7	60
11	8	58
12	8	57
13	9	55
14	9	54
15	10	53
16	10	52
17	11	51
18	12	51
19	12	50
20	13	49
21	13	48
22	14	47
23	14	46
24	15	46
25	15	45
26	16	44
27	17	44
28	17	43
29	18	43
30	19	42
31	19	42
32	20	41
33	20	40
34	21	39
35	22	39
36	22	38
37	23	37
38	23	37
39	24	36
40	24	35
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	28	31
47	28	30
48	29	30
49	30	30
50	30	29
51	31	28
52	32	28
53	32	27
54	33	27
55	34	26
56	34	26
57	35	25
58	36	25
59	37	24
60	37	24
61	38	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	44	19
69	44	19
70	45	18
71	46	18
72	47	17
73	48	16
74	48	16
75	49	15
76	50	14
77	50	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	54	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	59	6
90	59	5
91	60	5
92	61	4
93	61	3
94	62	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
